raceId;year;round;circuitId;name;date;time;day;mounth;iddate
246;1995;7;8;French Grand Prix;02/07/95;\N;2;7;492
247;1995;8;9;British Grand Prix;16/07/95;\N;16;7;494
248;1995;9;10;German Grand Prix;30/07/95;\N;30;7;496
249;1995;10;11;Hungarian Grand Prix;13/08/95;\N;13;8;498
250;1995;11;13;Belgian Grand Prix;27/08/95;\N;27;8;500
251;1995;12;14;Italian Grand Prix;10/09/95;\N;10;9;502
252;1995;13;27;Portuguese Grand Prix;24/09/95;\N;24;9;504
253;1995;14;20;European Grand Prix;01/10/95;\N;1;10;506
254;1995;15;28;Pacific Grand Prix;22/10/95;\N;22;10;508
255;1995;16;22;Japanese Grand Prix;29/10/95;\N;29;10;510
256;1995;17;29;Australian Grand Prix;12/11/95;\N;12;11;512
257;1994;1;18;Brazilian Grand Prix;27/03/94;\N;27;3;514
258;1994;2;28;Pacific Grand Prix;17/04/94;\N;17;4;516
259;1994;3;21;San Marino Grand Prix;01/05/94;\N;1;5;518
260;1994;4;6;Monaco Grand Prix;15/05/94;\N;15;5;520
261;1994;5;4;Spanish Grand Prix;29/05/94;\N;29;5;522
262;1994;6;7;Canadian Grand Prix;12/06/94;\N;12;6;524
263;1994;7;8;French Grand Prix;03/07/94;\N;3;7;526
264;1994;8;9;British Grand Prix;10/07/94;\N;10;7;528
265;1994;9;10;German Grand Prix;31/07/94;\N;31;7;530
266;1994;10;11;Hungarian Grand Prix;14/08/94;\N;14;8;532
267;1994;11;13;Belgian Grand Prix;28/08/94;\N;28;8;534
268;1994;12;14;Italian Grand Prix;11/09/94;\N;11;9;536
269;1994;13;27;Portuguese Grand Prix;25/09/94;\N;25;9;538
270;1994;14;26;European Grand Prix;16/10/94;\N;16;10;540
271;1994;15;22;Japanese Grand Prix;06/11/94;\N;6;11;542
272;1994;16;29;Australian Grand Prix;13/11/94;\N;13;11;544
273;1993;1;30;South African Grand Prix;14/03/93;\N;14;3;546
274;1993;2;18;Brazilian Grand Prix;28/03/93;\N;28;3;548
275;1993;3;31;European Grand Prix;11/04/93;\N;11;4;550
276;1993;4;21;San Marino Grand Prix;25/04/93;\N;25;4;552
277;1993;5;4;Spanish Grand Prix;09/05/93;\N;9;5;554
278;1993;6;6;Monaco Grand Prix;23/05/93;\N;23;5;556
279;1993;7;7;Canadian Grand Prix;13/06/93;\N;13;6;558
280;1993;8;8;French Grand Prix;04/07/93;\N;4;7;560
281;1993;9;9;British Grand Prix;11/07/93;\N;11;7;562
282;1993;10;10;German Grand Prix;25/07/93;\N;25;7;564
283;1993;11;11;Hungarian Grand Prix;15/08/93;\N;15;8;566
284;1993;12;13;Belgian Grand Prix;29/08/93;\N;29;8;568
285;1993;13;14;Italian Grand Prix;12/09/93;\N;12;9;570
286;1993;14;27;Portuguese Grand Prix;26/09/93;\N;26;9;572
287;1993;15;22;Japanese Grand Prix;24/10/93;\N;24;10;574
288;1993;16;29;Australian Grand Prix;07/11/93;\N;7;11;576
289;1992;1;30;South African Grand Prix;01/03/92;\N;1;3;578
290;1992;2;32;Mexican Grand Prix;22/03/92;\N;22;3;580
291;1992;3;18;Brazilian Grand Prix;05/04/92;\N;5;4;582
292;1992;4;4;Spanish Grand Prix;03/05/92;\N;3;5;584
293;1992;5;21;San Marino Grand Prix;17/05/92;\N;17;5;586
294;1992;6;6;Monaco Grand Prix;31/05/92;\N;31;5;588
295;1992;7;7;Canadian Grand Prix;14/06/92;\N;14;6;590
296;1992;8;8;French Grand Prix;05/07/92;\N;5;7;592
297;1992;9;9;British Grand Prix;12/07/92;\N;12;7;594
298;1992;10;10;German Grand Prix;26/07/92;\N;26;7;596
299;1992;11;11;Hungarian Grand Prix;16/08/92;\N;16;8;598
300;1992;12;13;Belgian Grand Prix;30/08/92;\N;30;8;600
301;1992;13;14;Italian Grand Prix;13/09/92;\N;13;9;602
302;1992;14;27;Portuguese Grand Prix;27/09/92;\N;27;9;604
303;1992;15;22;Japanese Grand Prix;25/10/92;\N;25;10;606
304;1992;16;29;Australian Grand Prix;08/11/92;\N;8;11;608
305;1991;1;33;United States Grand Prix;10/03/91;\N;10;3;610
306;1991;2;18;Brazilian Grand Prix;24/03/91;\N;24;3;612
307;1991;3;21;San Marino Grand Prix;28/04/91;\N;28;4;614
308;1991;4;6;Monaco Grand Prix;12/05/91;\N;12;5;616
309;1991;5;7;Canadian Grand Prix;02/06/91;\N;2;6;618
310;1991;6;32;Mexican Grand Prix;16/06/91;\N;16;6;620
311;1991;7;8;French Grand Prix;07/07/91;\N;7;7;622
312;1991;8;9;British Grand Prix;14/07/91;\N;14;7;624
313;1991;9;10;German Grand Prix;28/07/91;\N;28;7;626
314;1991;10;11;Hungarian Grand Prix;11/08/91;\N;11;8;628
315;1991;11;13;Belgian Grand Prix;25/08/91;\N;25;8;630
316;1991;12;14;Italian Grand Prix;08/09/91;\N;8;9;632
317;1991;13;27;Portuguese Grand Prix;22/09/91;\N;22;9;634
318;1991;14;4;Spanish Grand Prix;29/09/91;\N;29;9;636
